year,week,week_dim,day,org_id,organization,app_id,app_name,blockId,blockName,jobType,executionStartedAt,execution_time,computed_rows,nb_executions
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0159,BLOCK_0159,ImpView,2026-02-03T22:23:05.221Z,5413.0,12518.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0071,BLOCK_0071,ImpView,2026-02-03T18:11:05.745Z,204.0,9.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0116,BLOCK_0116,ImpView,2026-02-03T08:21:51.202Z,37.0,5.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0015,APP_0015,BLOCK_0195,BLOCK_0195,ImpView,2026-02-03T20:16:08.685Z,543.0,12938.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0011,BLOCK_0011,ImpView,2026-02-03T17:27:07.155Z,33.0,18.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0088,BLOCK_0088,ImpView,2026-02-03T11:11:47.176Z,2676.0,14257.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,BLOCK_0014,BLOCK_0014,ImpView,2026-02-03T14:11:26.015Z,82.0,144.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0131,BLOCK_0131,ImpView,2026-02-03T15:25:12.864Z,1789.0,24.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0014,APP_0014,BLOCK_0175,BLOCK_0175,View,2026-02-03T12:26:42.192Z,27.0,0.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0238,BLOCK_0238,ImpView,2026-02-03T13:41:28.420Z,13870.0,23610.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0019,BLOCK_0019,ImpView,2026-02-03T13:25:25.494Z,154.0,1125.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0003,APP_0003,BLOCK_0182,BLOCK_0182,ImpView,2026-02-03T12:31:36.582Z,74.0,8.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0177,BLOCK_0177,ImpView,2026-02-03T21:56:31.038Z,58.0,12.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0002,APP_0002,BLOCK_0093,BLOCK_0093,ImpView,2026-02-03T08:53:47.454Z,323.0,56.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0009,APP_0009,BLOCK_0201,BLOCK_0201,ImpView,2026-02-03T15:24:42.834Z,61.0,2.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0084,BLOCK_0084,ImpView,2026-02-03T15:36:15.650Z,79.0,5.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,BLOCK_0124,BLOCK_0124,View,2026-02-03T12:23:15.422Z,25.0,0.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,BLOCK_0014,BLOCK_0014,ImpView,2026-02-03T18:10:07.596Z,52.0,144.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0105,BLOCK_0105,ImpView,2026-02-03T08:31:41.379Z,3884.0,2308.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0011,BLOCK_0011,ImpView,2026-02-03T17:45:54.263Z,47.0,16.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0173,BLOCK_0173,View,2026-02-03T15:36:51.354Z,38.0,0.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0009,APP_0009,BLOCK_0201,BLOCK_0201,ImpView,2026-02-03T15:25:57.046Z,53.0,2.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0130,BLOCK_0130,ImpView,2026-02-03T15:22:41.640Z,75.0,3.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,BLOCK_0037,BLOCK_0037,ImpView,2026-02-03T12:26:19.274Z,70.0,4442.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0084,BLOCK_0084,ImpView,2026-02-03T15:17:28.205Z,10392.0,168.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0159,BLOCK_0159,ImpView,2026-02-03T14:23:44.951Z,9021.0,12518.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,BLOCK_0210,BLOCK_0210,ImpView,2026-02-03T03:13:12.627Z,133.0,9629.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0104,BLOCK_0104,ImpView,2026-02-03T13:51:14.317Z,541.0,1616.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0159,BLOCK_0159,ImpView,2026-02-03T06:22:09.208Z,5392.0,12518.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0152,BLOCK_0152,ImpView,2026-02-03T15:35:02.102Z,100.0,32.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,BLOCK_0208,BLOCK_0208,ImpView,2026-02-03T15:37:06.347Z,22.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0051,BLOCK_0051,ImpView,2026-02-03T15:51:15.073Z,113.0,1720.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0005,APP_0005,BLOCK_0219,BLOCK_0219,ImpView,2026-02-03T11:13:45.482Z,58.0,44.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0008,APP_0008,BLOCK_0091,BLOCK_0091,ImpView,2026-02-03T13:04:16.694Z,86.0,3439.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0152,BLOCK_0152,ImpView,2026-02-03T17:50:29.574Z,234.0,32.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0133,BLOCK_0133,ImpView,2026-02-03T19:23:27.962Z,5389.0,5124.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0104,BLOCK_0104,ImpView,2026-02-03T08:30:34.222Z,3545.0,19880.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,BLOCK_0124,BLOCK_0124,View,2026-02-03T12:23:57.852Z,39.0,0.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0008,APP_0008,BLOCK_0227,BLOCK_0227,ImpView,2026-02-03T12:38:59.404Z,98.0,0.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,BLOCK_0037,BLOCK_0037,ImpView,2026-02-03T14:10:50.703Z,118.0,4442.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0011,BLOCK_0011,ImpView,2026-02-03T18:19:16.753Z,35.0,16.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0082,BLOCK_0082,ImpView,2026-02-03T15:25:17.794Z,12827.0,45473.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0002,APP_0002,BLOCK_0093,BLOCK_0093,ImpView,2026-02-03T11:21:56.303Z,106.0,56.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0003,APP_0003,BLOCK_0022,BLOCK_0022,ImpView,2026-02-03T11:21:08.157Z,51.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0019,BLOCK_0019,ImpView,2026-02-03T06:23:59.675Z,123.0,1125.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0062,BLOCK_0062,ImpView,2026-02-03T17:32:19.154Z,432.0,45.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0133,BLOCK_0133,ImpView,2026-02-03T20:24:19.096Z,4319.0,5124.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0065,BLOCK_0065,ImpView,2026-02-03T17:52:29.980Z,464.0,108.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0011,BLOCK_0011,ImpView,2026-02-03T18:17:55.644Z,81.0,16.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0015,APP_0015,BLOCK_0217,BLOCK_0217,ImpView,2026-02-03T19:08:43.015Z,424.0,6198.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0105,BLOCK_0105,ImpView,2026-02-03T08:26:40.348Z,2423.0,2308.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0008,APP_0008,BLOCK_0202,BLOCK_0202,ImpView,2026-02-03T11:29:00.847Z,40.0,22.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,BLOCK_0163,BLOCK_0163,View,2026-02-03T10:46:46.843Z,31.0,0.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0005,APP_0005,BLOCK_0175,BLOCK_0175,View,2026-02-03T12:21:28.224Z,38.0,0.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0003,APP_0003,BLOCK_0182,BLOCK_0182,ImpView,2026-02-03T12:30:52.688Z,66.0,8.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,BLOCK_0081,BLOCK_0081,ImpView,2026-02-03T13:27:10.732Z,2544.0,3323.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0016,APP_0016,BLOCK_0152,BLOCK_0152,ImpView,2026-02-03T17:40:40.253Z,200.0,32.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,BLOCK_0180,BLOCK_0180,ImpView,2026-02-03T15:37:05.256Z,44.0,9.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0006,APP_0006,BLOCK_0036,BLOCK_0036,ImpView,2026-02-03T12:49:24.233Z,417.0,470.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0058,BLOCK_0058,ImpView,2026-02-03T17:30:44.257Z,376.0,183.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0236,BLOCK_0236,View,2026-02-03T16:20:26.950Z,14666.0,0.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0003,APP_0003,BLOCK_0154,BLOCK_0154,ImpView,2026-02-03T11:05:18.865Z,98.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0015,APP_0015,BLOCK_0129,BLOCK_0129,ImpView,2026-02-03T16:13:21.262Z,19839.0,147329.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0015,APP_0015,BLOCK_0217,BLOCK_0217,ImpView,2026-02-03T03:08:43.985Z,282.0,6198.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,BLOCK_0088,BLOCK_0088,ImpView,2026-02-03T13:41:21.382Z,14168.0,14296.0,1.0
