year,week,week_dim,day,org_id,organization,app_id,app_name,blockId,blockName,changeId,scoped,scoped_level,workers,macroFormula,backingMetricId,jobType,executionId,executionStartedAt,execution_time,computed_rows,deleted_rows,upserted_rows,nb_executions,nb_batch_executions
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,,BLOCK_0001,CHANGE_0025,False,NonApplicable,0,FORMULA_0067,,Formula,EXEC_0089,2026-02-03T13:29:10.244Z,29716.0,7786350.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0009,APP_0009,,BLOCK_0001,CHANGE_0048,False,NonApplicable,0,FORMULA_0413,,Formula,EXEC_0424,2026-02-03T12:24:21.772Z,119.0,0.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0011,APP_0011,,BLOCK_0001,CHANGE_0246,False,NonApplicable,0,FORMULA_0141,,Formula,EXEC_1094,2026-02-03T11:29:06.683Z,149.0,9.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0010,APP_0010,,BLOCK_0001,CHANGE_0164,False,NonApplicable,0,FORMULA_0270,,Formula,EXEC_0629,2026-02-03T12:58:40.721Z,0.0,7.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,,BLOCK_0001,CHANGE_0065,False,NonApplicable,0,FORMULA_0065,,Formula,EXEC_0945,2026-02-03T12:25:53.929Z,151.0,0.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,,BLOCK_0002,CHANGE_0107,False,NonApplicable,0,FORMULA_0013,,Formula,EXEC_0346,2026-02-03T14:56:04.678Z,127.0,1.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0019,APP_0019,,BLOCK_0001,CHANGE_0094,False,NonApplicable,0,FORMULA_0500,,Formula,EXEC_0852,2026-02-03T15:36:47.824Z,67.0,0.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0019,APP_0019,,BLOCK_0001,CHANGE_0124,False,NonApplicable,0,FORMULA_0200,,Formula,EXEC_0970,2026-02-03T21:44:23.001Z,159.0,29.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0004,APP_0004,,BLOCK_0002,CHANGE_0244,False,NonApplicable,0,FORMULA_0007,,Formula,EXEC_0866,2026-02-03T06:09:50.961Z,144.0,6.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0019,APP_0019,,BLOCK_0001,CHANGE_0121,False,NonApplicable,0,FORMULA_0231,,Formula,EXEC_1233,2026-02-03T12:27:25.860Z,82.0,0.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0018,APP_0018,,BLOCK_0001,CHANGE_0182,False,NonApplicable,0,FORMULA_0236,,Formula,EXEC_0317,2026-02-03T22:42:14.230Z,159.0,22.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,,BLOCK_0001,CHANGE_0246,False,NonApplicable,0,FORMULA_0336,,Formula,EXEC_0725,2026-02-03T11:29:04.593Z,0.0,11.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0011,APP_0011,,BLOCK_0001,CHANGE_0231,False,NonApplicable,0,FORMULA_0182,,Formula,EXEC_0241,2026-02-03T12:55:06.283Z,295.0,9.0,0.0,9.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,,BLOCK_0001,CHANGE_0246,False,NonApplicable,0,FORMULA_0143,,Formula,EXEC_0853,2026-02-03T11:29:00.356Z,0.0,11.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0018,APP_0018,,BLOCK_0001,CHANGE_0161,False,NonApplicable,0,FORMULA_0502,,Formula,EXEC_0352,2026-02-03T15:36:46.560Z,54.0,0.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0018,APP_0018,,BLOCK_0001,CHANGE_0100,False,NonApplicable,0,FORMULA_0494,,Formula,EXEC_1283,2026-02-03T15:36:47.011Z,70.0,0.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0015,APP_0015,,BLOCK_0001,CHANGE_0052,False,NonApplicable,0,FORMULA_0112,,Formula,EXEC_0459,2026-02-03T07:01:14.056Z,108.0,10.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0019,APP_0019,,BLOCK_0001,CHANGE_0051,False,NonApplicable,0,FORMULA_0486,,Formula,EXEC_0176,2026-02-03T15:36:48.782Z,140.0,407.0,0.0,407.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0011,APP_0011,,BLOCK_0001,CHANGE_0121,False,NonApplicable,0,FORMULA_0114,,Formula,EXEC_0950,2026-02-03T12:27:25.942Z,52.0,0.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0001,APP_0001,,BLOCK_0001,CHANGE_0110,False,NonApplicable,0,FORMULA_0458,,Formula,EXEC_0381,2026-02-03T12:37:55.884Z,151.0,0.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0019,APP_0019,,BLOCK_0001,CHANGE_0100,False,NonApplicable,0,FORMULA_0488,,Formula,EXEC_0789,2026-02-03T15:36:47.012Z,52.0,0.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,,BLOCK_0001,CHANGE_0246,False,NonApplicable,0,FORMULA_0345,,Formula,EXEC_0271,2026-02-03T11:29:00.356Z,0.0,5.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0019,APP_0019,,BLOCK_0001,CHANGE_0065,False,NonApplicable,0,FORMULA_0231,,Formula,EXEC_1000,2026-02-03T12:25:54.119Z,147.0,0.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0006,APP_0006,,BLOCK_0001,CHANGE_0044,False,NonApplicable,0,FORMULA_0024,,Formula,EXEC_1075,2026-02-03T02:18:48.965Z,130.0,7.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0010,APP_0010,,BLOCK_0001,CHANGE_0164,False,NonApplicable,0,FORMULA_0161,,Formula,EXEC_0395,2026-02-03T12:58:40.721Z,0.0,7.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0015,APP_0015,,BLOCK_0001,CHANGE_0065,False,NonApplicable,0,FORMULA_0132,,Formula,EXEC_1036,2026-02-03T12:25:54.087Z,94.0,0.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0012,APP_0012,,BLOCK_0001,CHANGE_0048,False,NonApplicable,0,FORMULA_0066,,Formula,EXEC_0301,2026-02-03T12:24:36.073Z,141.0,0.0,0.0,0.0,1.0,1.0
2026,WK 5 23,WK 5 26,2026-02-03,ORG_0001,ORG_0001,APP_0010,APP_0010,,BLOCK_0001,CHANGE_0036,False,NonApplicable,0,FORMULA_0202,,Formula,EXEC_0720,2026-02-03T12:58:42.759Z,0.0,7.0,0.0,0.0,1.0,1.0
